═══════════════════════════════════════════════════════════════
  TALOS Exercise Enrichment Report
  Generated: 2026-02-19T19:02:50.484Z
═══════════════════════════════════════════════════════════════

SUMMARY
  Total TALOS exercises: 350
  Matched (enriched):    243
  ⚠ Captain's Chair Leg Raise                → Hanging Leg Raise [fuzzy(0.55)]
  ⚠ Close Grip Barbell Curl                  → Barbell Curl [fuzzy(0.65)]
  ⚠ Close Grip Cable Row                     → Upright Cable Row [fuzzy(0.55)]
  ⚠ Cross-Body Cable Extension               → Cable Incline Triceps Extension [fuzzy(0.55)]
  ⚠ Cross-Body Hammer Curl                   → Alternate Hammer Curl [fuzzy(0.65)]
  ⚠ DB Bulgarian Split Squat                 → Dumbbell Squat [fuzzy(0.65)]
  ⚠ DB Chest Supported Row                   → Dumbbell Incline Row [fuzzy(0.55)]
  ⚠ DB Drag Curl                             → Drag Curl [fuzzy(0.67)]
  ⚠ DB Good Morning                          → Good Morning [fuzzy(0.67)]
  ⚠ DB Lateral Lunge                         → Dumbbell Rear Lunge [fuzzy(0.65)]
  ⚠ DB Overhead Extension                    → Decline Dumbbell Triceps Extension [fuzzy(0.55)]
  ⚠ DB Reverse Lunge                         → Dumbbell Rear Lunge [fuzzy(0.65)]
  ⚠ DB Reverse Wrist Curl                    → Seated Dumbbell Palms-Down Wrist Curl [fuzzy(0.65)]
  ⚠ DB Romanian Deadlift                     → Romanian Deadlift [fuzzy(0.67)]
  ⚠ DB Russian Twist                         → Russian Twist [fuzzy(0.67)]
  ⚠ DB Shrug (Shoulders)                     → Dumbbell Shrug [fuzzy(0.67)]
  ⚠ DB Spider Curl                           → Spider Curl [fuzzy(0.67)]
  ⚠ DB Squeeze Press                         → Dumbbell Bench Press [fuzzy(0.65)]
  ⚠ DB Stiff-Leg Deadlift                    → Stiff-Legged Dumbbell Deadlift [fuzzy(0.65)]
  ⚠ DB Sumo Squat                            → Dumbbell Squat [fuzzy(0.67)]
  ⚠ DB W Press                               → Arnold Dumbbell Press [fuzzy(0.65)]
  ⚠ DB Walking Lunge                         → Dumbbell Rear Lunge [fuzzy(0.65)]
  ⚠ Decline DB Fly                           → Decline Dumbbell Flyes [fuzzy(0.65)]
  ⚠ Decline Push-ups                         → Pushups [fuzzy(0.65)]
  ⚠ Diamond Push-ups                         → Pushups [fuzzy(0.65)]
  ⚠ Donkey Calf Raise                        → Seated Calf Raise [fuzzy(0.65)]
  ⚠ Glute-Ham Raise                          → Floor Glute-Ham Raise [fuzzy(0.67)]
  ⚠ Hack Squat Calf Raise                    → Seated Calf Raise [fuzzy(0.55)]
  ⚠ Hanging Knee Raise                       → Hanging Leg Raise [fuzzy(0.65)]
  ⚠ High Cable Curl                          → Cable Preacher Curl [fuzzy(0.65)]
  ⚠ Incline Push-ups                         → Pushups [fuzzy(0.65)]
  ⚠ Iso-Lateral Chest Press                  → Leverage Chest Press [fuzzy(0.65)]
  ⚠ Iso-Lateral High Row                     → Leverage High Row [fuzzy(0.65)]
  ⚠ Iso-Lateral Incline Press                → Leverage Incline Chest Press [fuzzy(0.55)]
  ⚠ Iso-Lateral Shoulder Press               → Leverage Shoulder Press [fuzzy(0.65)]
  ⚠ Leaning DB Lateral Raise                 → Dumbbell Lying Rear Lateral Raise [fuzzy(0.65)]
  ⚠ Machine Chest Press                      → Leverage Chest Press [fuzzy(0.65)]
  ⚠ Machine Preacher Curl                    → Preacher Curl [fuzzy(0.67)]
  ⚠ Machine Row                              → Smith Machine Upright Row [fuzzy(0.65)]
  ⚠ Machine Tricep Extension                 → Machine Triceps Extension [fuzzy(0.65)]
  ⚠ Neutral Grip Cable Row                   → Upright Cable Row [fuzzy(0.55)]
  ⚠ Neutral Grip Lat Pulldown                → Wide-Grip Lat Pulldown [fuzzy(0.55)]
  ⚠ Pistol Squat                             → Kettlebell Pistol Squat [fuzzy(0.67)]
  ⚠ Rack Pull                                → Rack Pull with Bands [fuzzy(0.65)]
  ⚠ Renegade Row                             → Alternating Renegade Row [fuzzy(0.67)]
  ⚠ Reverse Grip Bench Press                 → Barbell Bench Press - Medium Grip [fuzzy(0.65)]
  ⚠ Reverse Grip Lat Pulldown                → Wide-Grip Lat Pulldown [fuzzy(0.55)]
  ⚠ RKC Plank                                → Plank [fuzzy(0.65)]
  ⚠ Side Plank                               → Plank [fuzzy(0.65)]
  ⚠ Single-Arm Cable Curl                    → Cable Preacher Curl [fuzzy(0.65)]
  ⚠ Single-Arm Cable Fly                     → Single-Arm Cable Crossover [fuzzy(0.65)]
  ⚠ Single-Arm Cable Row                     → Upright Cable Row [fuzzy(0.65)]
  ⚠ Single-Arm DB Lateral Raise              → Dumbbell Lying Rear Lateral Raise [fuzzy(0.65)]
  ⚠ Single-Arm Lat Pulldown                  → Wide-Grip Lat Pulldown [fuzzy(0.65)]
  ⚠ Sissy Squat                              → Weighted Sissy Squat [fuzzy(0.67)]
  ⚠ Sissy Squat Machine                      → Lying Machine Squat [fuzzy(0.65)]
  ⚠ Smith Machine Behind Neck Press          → Smith Machine Overhead Shoulder Press [fuzzy(0.58)]
  ⚠ Smith Machine Lunge                      → Smith Machine Squat [fuzzy(0.65)]
  ⚠ Snatch Grip Deadlift                     → Snatch Deadlift [fuzzy(0.67)]
  ⚠ Tibialis Raise Machine                   → Smith Machine Calf Raise [fuzzy(0.55)]
  ⚠ V-Bar Pushdown                           → Triceps Pushdown - V-Bar Attachment [fuzzy(0.65)]
  ⚠ Weighted Dips (Triceps)                  → Dips - Triceps Version [fuzzy(0.65)]
  ⚠ Weighted Pull-ups                        → Pullups [fuzzy(0.65)]
  ⚠ Wide Grip Barbell Curl                   → Barbell Curl [fuzzy(0.65)]
  ⚠ Wide Grip Cable Row                      → Upright Cable Row [fuzzy(0.55)]
  ⚠ Wide Push-ups                            → Pushups [fuzzy(0.65)]
  ⚠ Wrist Curl                               → Cable Wrist Curl [fuzzy(0.67)]

───────────────────────────────────────────────────────────────
CANDIDATE NEW EXERCISES FROM free-exercise-db
  (strength-category, not already in TALOS, could expand library)
───────────────────────────────────────────────────────────────
  + Advanced Kettlebell Windmill (core, other)
  + Air Bike (core, bodyweight)
  + Alternate Heel Touchers (core, bodyweight)
  + Alternating Cable Shoulder Press (shoulders, cable)
  + Alternating Deltoid Raise (shoulders, dumbbell)
  + Alternating Floor Press (chest, other)
  + Alternating Hang Clean (hamstrings, other)
  + Alternating Kettlebell Press (shoulders, other)
  + Alternating Kettlebell Row (back, other)
  + Anti-Gravity Press (shoulders, barbell)
  + Around The Worlds (chest, dumbbell)
  + Back Flyes - With Bands (shoulders, other)
  + Balance Board (calves, other)
  + Ball Leg Curl (hamstrings, other)
  + Band Assisted Pull-Up (back, other)
  + Band Hip Adductions (glutes, other)
  + Band Pull Apart (shoulders, other)
  + Band Skull Crusher (triceps, other)
  + Barbell Ab Rollout - On Knees (core, barbell)
  + Barbell Curls Lying Against An Incline (biceps, barbell)
  + Barbell Full Squat (quads, barbell)
  + Barbell Incline Shoulder Raise (shoulders, barbell)
  + Barbell Rear Delt Row (shoulders, barbell)
  + Barbell Rollout from Bench (core, barbell)
  + Barbell Shrug Behind The Back (back, barbell)
  + Barbell Side Bend (core, barbell)
  + Barbell Squat To A Bench (quads, barbell)
  + Barbell Step Ups (quads, barbell)
  + Battling Ropes (shoulders, other)
  + Bench Press - With Bands (chest, other)
  + Bent-Knee Hip Raise (core, bodyweight)
  + Bent Over Low-Pulley Side Lateral (shoulders, cable)
  + Bent Over One-Arm Long Bar Row (back, barbell)
  + Bent Over Two-Dumbbell Row (back, dumbbell)
  + Bent Over Two-Dumbbell Row With Palms In (back, dumbbell)
  + Bent Press (core, other)
  + Body-Up (triceps, bodyweight)
  + Body Tricep Press (triceps, bodyweight)
  + Bodyweight Flyes (chest, barbell)
  + Bodyweight Mid Row (back, other)
  + Bosu Ball Cable Crunch With Side Bends (core, cable)
  + Bottoms-Up Clean From The Hang Position (forearms, other)
  + Bottoms Up (core, bodyweight)
  + Box Squat with Chains (quads, barbell)
  + Bradford/Rocky Presses (shoulders, barbell)
  + Butt-Ups (core, bodyweight)
  + Butt Lift (Bridge) (glutes, bodyweight)
  + Cable Deadlifts (quads, cable)
  + Cable Hip Adduction (quads, cable)
  + Cable Incline Pushdown (back, cable)
